# Iteration, E/spin, M/spin
0, -0.1242187, -0.0117188
1, -0.1632812,  0.0488281
2, -0.1882812,  0.0742188
3, -0.2085937,  0.1015625
4, -0.2046875,  0.1113281
5, -0.2093750,  0.0605469
6, -0.2007812,  0.0429688
7, -0.2046875,  0.0039062
8, -0.2164062,  0.0292969
9, -0.2203125, -0.0566406
10, -0.1953125, -0.0585938
11, -0.2023437, -0.0449219
12, -0.2195312, -0.0761719
13, -0.2210937, -0.0859375
14, -0.2351562, -0.1386719
15, -0.2164062, -0.1855469
16, -0.2132812, -0.2460938
17, -0.2023437, -0.2167969
18, -0.2085937, -0.1679688
19, -0.1984375, -0.1679688
20, -0.2148437, -0.0976562
21, -0.2085937, -0.1191406
22, -0.2062500, -0.1113281
23, -0.1921875, -0.1308594
24, -0.2101562, -0.0761719
25, -0.2109375,  0.0117188
26, -0.1945312,  0.0429688
27, -0.1906250, -0.0019531
28, -0.2031250, -0.0097656
29, -0.2148437, -0.0390625
30, -0.2164062, -0.0234375
31, -0.2187500,  0.0078125
32, -0.2109375,  0.0253906
33, -0.2218750, -0.0175781
34, -0.2250000, -0.0585938
35, -0.2242187, -0.0957031
36, -0.2218750, -0.0664062
37, -0.2171875,  0.0000000
38, -0.2109375,  0.0390625
39, -0.2171875,  0.0312500
40, -0.2273437,  0.0273438
41, -0.2195312,  0.0332031
42, -0.2210937,  0.0312500
43, -0.2281250,  0.0234375
44, -0.2171875,  0.0488281
45, -0.2109375,  0.0058594
46, -0.1968750, -0.0410156
47, -0.2070312, -0.0371094
48, -0.2085937,  0.0273438
49, -0.2203125,  0.0117188
50, -0.2179687, -0.0703125
51, -0.2195312, -0.0742188
52, -0.2304687, -0.0292969
53, -0.2117187, -0.0976562
54, -0.2250000, -0.1835938
55, -0.2265625, -0.2441406
56, -0.2257812, -0.2128906
57, -0.2109375, -0.2070312
58, -0.2218750, -0.2656250
59, -0.2140625, -0.3164062
60, -0.2140625, -0.3300781
61, -0.2039062, -0.3281250
62, -0.2117187, -0.3085938
63, -0.2234375, -0.2988281
64, -0.2140625, -0.2460938
65, -0.2242187, -0.2382812
66, -0.2414062, -0.2148438
67, -0.2375000, -0.1113281
68, -0.2250000, -0.0644531
69, -0.2234375, -0.0839844
70, -0.2109375, -0.0175781
71, -0.2218750, -0.0371094
72, -0.2156250, -0.0429688
73, -0.2046875, -0.0039062
74, -0.2140625,  0.0000000
75, -0.2226562, -0.0097656
76, -0.2148437, -0.0371094
77, -0.2140625, -0.0039062
78, -0.2156250,  0.0527344
79, -0.2148437, -0.0078125
80, -0.2031250, -0.0625000
81, -0.2125000,  0.0078125
82, -0.2140625,  0.0253906
83, -0.1992187,  0.0214844
84, -0.2015625,  0.0312500
85, -0.1976562, -0.0175781
86, -0.1906250,  0.0214844
87, -0.2078125,  0.1250000
88, -0.2117187,  0.1425781
89, -0.2015625,  0.1406250
90, -0.2101562,  0.1582031
91, -0.2062500,  0.1582031
92, -0.2132812,  0.2187500
93, -0.2273437,  0.2050781
94, -0.2210937,  0.2812500
95, -0.2132812,  0.2832031
96, -0.2210937,  0.2812500
97, -0.2187500,  0.3300781
98, -0.2210937,  0.2714844
99, -0.2039062,  0.2343750
100, -0.1882812,  0.2070312
101, -0.2007812,  0.1894531
102, -0.1976562,  0.2031250
103, -0.2242187,  0.2988281
104, -0.2132812,  0.2773438
105, -0.2210937,  0.2500000
106, -0.2179687,  0.2148438
107, -0.2062500,  0.1855469
108, -0.2296875,  0.1992188
109, -0.2257812,  0.1796875
110, -0.2109375,  0.1523438
111, -0.2187500,  0.1171875
112, -0.2062500,  0.1054688
113, -0.2265625,  0.0605469
114, -0.2328125, -0.0214844
115, -0.2312500, -0.0546875
116, -0.2429687, -0.0175781
117, -0.2335937, -0.0351562
118, -0.2273437, -0.0058594
119, -0.2289062, -0.0410156
120, -0.2375000, -0.0800781
121, -0.2460937, -0.0937500
122, -0.2359375, -0.1054688
123, -0.2335937, -0.1328125
124, -0.2359375, -0.1367188
125, -0.2328125, -0.0839844
126, -0.2414062, -0.0937500
127, -0.2437500, -0.1113281
128, -0.2289062, -0.1269531
129, -0.2359375, -0.1132812
130, -0.2515625, -0.1367188
131, -0.2304687, -0.1289062
132, -0.2343750, -0.1269531
133, -0.2429687, -0.1601562
134, -0.2500000, -0.1835938
135, -0.2382812, -0.1191406
136, -0.2515625, -0.1035156
137, -0.2531250, -0.1328125
138, -0.2429687, -0.0761719
139, -0.2312500, -0.1308594
140, -0.2296875, -0.1796875
141, -0.2070312, -0.1523438
142, -0.1921875, -0.1953125
143, -0.2132812, -0.1777344
144, -0.2242187, -0.2109375
145, -0.2359375, -0.2343750
146, -0.2414062, -0.1953125
147, -0.2312500, -0.1582031
148, -0.2281250, -0.1054688
149, -0.2273437, -0.1406250
150, -0.2171875, -0.1347656
151, -0.2390625, -0.1425781
152, -0.2382812, -0.1699219
153, -0.2351562, -0.1953125
154, -0.2460937, -0.2304688
155, -0.2351562, -0.2382812
156, -0.2265625, -0.2148438
157, -0.2304687, -0.2285156
158, -0.2320312, -0.1699219
159, -0.2289062, -0.1699219
160, -0.2234375, -0.1738281
161, -0.2312500, -0.2089844
162, -0.2390625, -0.2382812
163, -0.2562500, -0.2324219
164, -0.2382812, -0.1796875
165, -0.2234375, -0.1621094
166, -0.2250000, -0.1464844
167, -0.2078125, -0.1718750
168, -0.2125000, -0.1699219
169, -0.2195312, -0.1894531
170, -0.2382812, -0.2050781
171, -0.2296875, -0.1796875
172, -0.2234375, -0.1914062
173, -0.2250000, -0.1445312
174, -0.2125000, -0.1875000
175, -0.2000000, -0.2109375
176, -0.2000000, -0.1210938
177, -0.2203125, -0.0761719
178, -0.2242187,  0.0058594
179, -0.2195312,  0.0058594
180, -0.2218750,  0.0175781
181, -0.2085937,  0.0351562
182, -0.2171875,  0.0820312
183, -0.2234375,  0.0664062
184, -0.2265625,  0.0566406
185, -0.2359375,  0.0703125
186, -0.2257812,  0.0195312
187, -0.2351562,  0.0566406
188, -0.2257812,  0.0058594
189, -0.2390625, -0.0585938
190, -0.2367187, -0.0546875
191, -0.2468750, -0.0488281
192, -0.2453125, -0.0566406
193, -0.2367187, -0.0605469
194, -0.2242187, -0.0625000
195, -0.2218750, -0.1035156
196, -0.2125000, -0.0800781
197, -0.1929687, -0.0937500
198, -0.2250000, -0.0683594
199, -0.2351562, -0.0605469
200, -0.2218750, -0.0878906
201, -0.2117187, -0.0859375
202, -0.2218750, -0.0859375
203, -0.2093750, -0.0839844
204, -0.2203125, -0.1289062
205, -0.2117187, -0.1796875
206, -0.2187500, -0.1660156
207, -0.2250000, -0.1796875
208, -0.2296875, -0.2148438
209, -0.2265625, -0.1777344
210, -0.2234375, -0.2070312
211, -0.2210937, -0.1328125
212, -0.2242187, -0.1601562
213, -0.2203125, -0.1425781
214, -0.2367187, -0.1269531
215, -0.2296875, -0.1386719
216, -0.2382812, -0.1796875
217, -0.2328125, -0.1738281
218, -0.2343750, -0.2207031
219, -0.2242187, -0.2460938
220, -0.2242187, -0.1953125
221, -0.2171875, -0.2246094
222, -0.2335937, -0.2968750
223, -0.2312500, -0.2792969
224, -0.2265625, -0.2578125
225, -0.2171875, -0.2050781
226, -0.2210937, -0.2617188
227, -0.2375000, -0.3007812
228, -0.2296875, -0.2968750
229, -0.2171875, -0.2929688
230, -0.2203125, -0.3027344
231, -0.2234375, -0.3085938
232, -0.2085937, -0.2695312
233, -0.2164062, -0.2617188
234, -0.2234375, -0.2011719
235, -0.2164062, -0.2050781
236, -0.2226562, -0.1660156
237, -0.2171875, -0.1445312
238, -0.2093750, -0.1269531
239, -0.2140625, -0.1250000
