# Iteration, E/spin, M/spin
199, -0.4176758,  0.9257812
200, -0.3993164,  0.9101562
201, -0.4075781,  0.9160156
202, -0.4204297,  0.9335938
203, -0.4176758,  0.9296875
204, -0.4002344,  0.9140625
205, -0.4066602,  0.9179688
206, -0.4011523,  0.8964844
207, -0.3855469,  0.8515625
208, -0.3809570,  0.8574219
209, -0.3772852,  0.8398438
210, -0.3763672,  0.8359375
211, -0.3883008,  0.8710938
212, -0.3873828,  0.8691406
213, -0.3983984,  0.8984375
214, -0.4011523,  0.9042969
215, -0.3965625,  0.8906250
216, -0.4020703,  0.9101562
217, -0.3883008,  0.8867188
218, -0.4167578,  0.9257812
219, -0.4176758,  0.9316406
220, -0.4103320,  0.9199219
221, -0.4149219,  0.9296875
222, -0.4084961,  0.9160156
223, -0.3947266,  0.8964844
224, -0.3947266,  0.8945312
225, -0.3947266,  0.9023438
226, -0.3993164,  0.9101562
227, -0.3993164,  0.9042969
228, -0.4195117,  0.9296875
229, -0.4140039,  0.9296875
230, -0.4048242,  0.9101562
231, -0.4140039,  0.9277344
232, -0.4029883,  0.9042969
233, -0.3928906,  0.8945312
234, -0.3901367,  0.8867188
235, -0.3873828,  0.8789062
236, -0.3892188,  0.8750000
237, -0.3892188,  0.8808594
238, -0.4057422,  0.9121094
239, -0.3993164,  0.9062500
240, -0.3947266,  0.9003906
241, -0.3965625,  0.8906250
242, -0.4167578,  0.9218750
243, -0.4039063,  0.9023438
244, -0.4094141,  0.9160156
245, -0.4057422,  0.9101562
246, -0.3910547,  0.8710938
247, -0.3901367,  0.8691406
248, -0.3800391,  0.8652344
249, -0.3763672,  0.8593750
250, -0.3883008,  0.8828125
251, -0.3772852,  0.8496094
252, -0.3938086,  0.8925781
253, -0.3901367,  0.8925781
254, -0.3974805,  0.9003906
255, -0.3938086,  0.8886719
256, -0.3846289,  0.8750000
257, -0.3919727,  0.8847656
258, -0.3818750,  0.8574219
259, -0.3644336,  0.8359375
260, -0.3497461,  0.8222656
261, -0.3653516,  0.8378906
262, -0.3561719,  0.8242188
263, -0.3837109,  0.8750000
264, -0.3919727,  0.8710938
265, -0.3928906,  0.8906250
266, -0.3827930,  0.8769531
267, -0.3846289,  0.8671875
268, -0.3938086,  0.8808594
269, -0.3864648,  0.8789062
270, -0.3938086,  0.8945312
271, -0.3928906,  0.8867188
272, -0.3892188,  0.8710938
273, -0.3919727,  0.8632812
274, -0.3947266,  0.8808594
275, -0.3864648,  0.8750000
276, -0.3928906,  0.8593750
277, -0.3745313,  0.8281250
278, -0.3809570,  0.8457031
279, -0.3809570,  0.8378906
280, -0.3873828,  0.8222656
281, -0.3635156,  0.8125000
282, -0.3745313,  0.8066406
283, -0.3690234,  0.8085938
284, -0.3726953,  0.8007812
285, -0.3736133,  0.8144531
286, -0.3754492,  0.8476562
287, -0.3653516,  0.8300781
288, -0.3552539,  0.8027344
289, -0.3681055,  0.8144531
290, -0.3671875,  0.8339844
291, -0.3791211,  0.8476562
292, -0.3818750,  0.8515625
293, -0.3690234,  0.8222656
294, -0.3726953,  0.8378906
295, -0.3699414,  0.8144531
296, -0.3671875,  0.7753906
297, -0.3782031,  0.7910156
298, -0.3570898,  0.7832031
299, -0.3671875,  0.7910156
300, -0.3589258,  0.7988281
301, -0.3644336,  0.8183594
302, -0.3635156,  0.8183594
303, -0.3708594,  0.8125000
304, -0.3791211,  0.8222656
305, -0.3671875,  0.7988281
306, -0.3607617,  0.7988281
307, -0.3607617,  0.7656250
308, -0.3708594,  0.7832031
309, -0.3726953,  0.7949219
310, -0.3699414,  0.7988281
311, -0.3772852,  0.7968750
312, -0.3772852,  0.7968750
313, -0.3827930,  0.8281250
314, -0.3791211,  0.8144531
315, -0.3671875,  0.8085938
316, -0.3883008,  0.8554688
317, -0.3745313,  0.8613281
318, -0.3901367,  0.8886719
319, -0.3938086,  0.8925781
320, -0.3883008,  0.8789062
321, -0.3873828,  0.8847656
322, -0.3809570,  0.8710938
323, -0.3864648,  0.8867188
324, -0.3938086,  0.8847656
325, -0.3855469,  0.8710938
326, -0.4066602,  0.8984375
327, -0.4112500,  0.9218750
328, -0.3864648,  0.8691406
329, -0.4066602,  0.8867188
330, -0.3993164,  0.8984375
331, -0.3983984,  0.8906250
332, -0.4103320,  0.9023438
333, -0.4057422,  0.9003906
334, -0.4048242,  0.8984375
335, -0.4057422,  0.8964844
336, -0.4103320,  0.9160156
337, -0.4048242,  0.9082031
338, -0.3956445,  0.8984375
339, -0.4057422,  0.9199219
340, -0.4029883,  0.9042969
341, -0.4075781,  0.9062500
342, -0.3883008,  0.8710938
343, -0.3864648,  0.8789062
344, -0.3993164,  0.8945312
345, -0.3947266,  0.8964844
346, -0.3736133,  0.8535156
347, -0.3827930,  0.8593750
348, -0.3846289,  0.8476562
349, -0.3772852,  0.8242188
350, -0.3745313,  0.8027344
351, -0.3883008,  0.8222656
352, -0.3782031,  0.7949219
353, -0.3846289,  0.8007812
354, -0.3772852,  0.8066406
355, -0.3800391,  0.8183594
356, -0.3717773,  0.7929688
357, -0.3763672,  0.8222656
358, -0.3837109,  0.8046875
359, -0.3782031,  0.8183594
360, -0.3616797,  0.8164062
361, -0.3598438,  0.8085938
362, -0.3662695,  0.8027344
363, -0.3561719,  0.8007812
364, -0.3699414,  0.8300781
365, -0.3919727,  0.8691406
366, -0.3772852,  0.8671875
367, -0.4011523,  0.8945312
368, -0.4195117,  0.9238281
369, -0.4075781,  0.9082031
370, -0.3993164,  0.9023438
371, -0.3791211,  0.8671875
372, -0.3827930,  0.8769531
373, -0.3864648,  0.8847656
374, -0.3782031,  0.8535156
375, -0.3708594,  0.8339844
376, -0.3846289,  0.8730469
377, -0.3745313,  0.8574219
378, -0.3589258,  0.8476562
379, -0.3708594,  0.8398438
380, -0.3938086,  0.8867188
381, -0.4066602,  0.9062500
382, -0.3947266,  0.8906250
383, -0.3956445,  0.8984375
384, -0.3846289,  0.8828125
385, -0.3809570,  0.8632812
386, -0.3690234,  0.8378906
387, -0.3772852,  0.8476562
388, -0.3782031,  0.8691406
389, -0.4039063,  0.8925781
390, -0.3883008,  0.8789062
391, -0.3901367,  0.8769531
392, -0.3791211,  0.8554688
393, -0.3818750,  0.8710938
394, -0.3883008,  0.8847656
395, -0.3745313,  0.8496094
396, -0.3864648,  0.8457031
397, -0.3754492,  0.8203125
398, -0.3892188,  0.8554688
399, -0.3800391,  0.8554688
400, -0.3827930,  0.8515625
401, -0.3846289,  0.8710938
402, -0.4094141,  0.9160156
403, -0.3965625,  0.9042969
404, -0.3919727,  0.8925781
405, -0.3873828,  0.8652344
406, -0.3827930,  0.8417969
407, -0.3772852,  0.8320312
408, -0.3818750,  0.8632812
409, -0.3883008,  0.8593750
410, -0.3901367,  0.8750000
411, -0.3974805,  0.8867188
412, -0.4020703,  0.8925781
413, -0.3910547,  0.8750000
414, -0.3910547,  0.8613281
415, -0.3846289,  0.8593750
416, -0.3745313,  0.8535156
417, -0.3974805,  0.8984375
418, -0.3938086,  0.9003906
419, -0.3800391,  0.8750000
420, -0.3791211,  0.8632812
421, -0.3910547,  0.8847656
422, -0.4002344,  0.9003906
423, -0.4149219,  0.9316406
424, -0.3983984,  0.9062500
425, -0.3873828,  0.8867188
426, -0.3754492,  0.8554688
427, -0.3873828,  0.8710938
428, -0.3919727,  0.8789062
429, -0.3892188,  0.8867188
430, -0.3772852,  0.8671875
431, -0.4002344,  0.8691406
432, -0.3855469,  0.8632812
433, -0.3873828,  0.8437500
434, -0.3883008,  0.8710938
435, -0.3883008,  0.8789062
436, -0.3928906,  0.8769531
437, -0.3919727,  0.8808594
438, -0.4002344,  0.8964844
439, -0.3965625,  0.8828125
440, -0.4029883,  0.8867188
441, -0.3983984,  0.8574219
442, -0.3901367,  0.8320312
443, -0.3837109,  0.8261719
444, -0.3892188,  0.8671875
445, -0.3873828,  0.8730469
446, -0.3754492,  0.8339844
447, -0.4011523,  0.8867188
448, -0.3919727,  0.8730469
449, -0.3827930,  0.8593750
450, -0.3754492,  0.8535156
451, -0.3928906,  0.8671875
452, -0.3681055,  0.8359375
453, -0.3616797,  0.8261719
454, -0.3717773,  0.8261719
455, -0.3653516,  0.8085938
456, -0.3690234,  0.8144531
457, -0.3653516,  0.8222656
458, -0.3699414,  0.8183594
459, -0.3745313,  0.8222656
460, -0.3791211,  0.8125000
461, -0.3662695,  0.8066406
462, -0.3864648,  0.8281250
