# Iteration, E/spin, M/spin
0, -0.1293750,  0.0097656
1, -0.1733984, -0.0253906
2, -0.2291016,  0.0546875
3, -0.2210156,  0.0195312
4, -0.2605469, -0.0332031
5, -0.2632422, -0.0273438
6, -0.2713281, -0.0527344
7, -0.2713281, -0.0546875
8, -0.2713281, -0.0390625
9, -0.2749219, -0.0078125
10, -0.2830078, -0.0605469
11, -0.2749219, -0.0175781
12, -0.2731250, -0.0312500
13, -0.2803125, -0.0917969
14, -0.2821094, -0.0488281
15, -0.2695313, -0.0390625
16, -0.2722266, -0.0136719
17, -0.2722266, -0.0429688
18, -0.2632422, -0.0585938
19, -0.2830078, -0.0351562
20, -0.2866016, -0.0097656
21, -0.2866016, -0.0390625
22, -0.2866016, -0.0332031
23, -0.2821094, -0.0078125
24, -0.2883984, -0.0117188
25, -0.2803125, -0.0449219
26, -0.2668359, -0.0937500
27, -0.2919922, -0.0937500
28, -0.2812109, -0.1210938
29, -0.2955859, -0.0898438
30, -0.2901953, -0.1074219
31, -0.3090625, -0.1406250
32, -0.3108594, -0.1796875
33, -0.3144531, -0.2187500
34, -0.3207422, -0.1835938
35, -0.3153516, -0.1777344
36, -0.3072656, -0.1796875
37, -0.3144531, -0.1542969
38, -0.3216406, -0.1015625
39, -0.3180469, -0.0566406
40, -0.3252344, -0.0761719
41, -0.3099609, -0.0742188
42, -0.3117578, -0.0761719
43, -0.3207422, -0.0605469
44, -0.3162500, -0.0898438
45, -0.3270313, -0.0761719
46, -0.3405078, -0.0839844
47, -0.3458984, -0.0917969
48, -0.3458984, -0.0917969
49, -0.3288281, -0.0625000
50, -0.3207422, -0.0429688
51, -0.3207422, -0.0507812
52, -0.3234375, -0.0488281
53, -0.3135547, -0.0449219
54, -0.3288281, -0.0410156
55, -0.3288281, -0.0234375
56, -0.3324219,  0.0039062
57, -0.3279297, -0.0156250
58, -0.3279297,  0.0019531
59, -0.3324219,  0.0000000
60, -0.3306250,  0.0468750
61, -0.3288281,  0.0312500
62, -0.3243359,  0.0507812
63, -0.3414063,  0.0937500
64, -0.3369141,  0.0605469
65, -0.3243359,  0.0410156
66, -0.3306250,  0.0253906
67, -0.3207422,  0.0488281
68, -0.3252344,  0.0468750
69, -0.3189453,  0.0273438
70, -0.2928906,  0.0019531
71, -0.3306250,  0.0605469
72, -0.3333203,  0.0664062
73, -0.3225391,  0.0957031
74, -0.3153516,  0.0917969
75, -0.3108594,  0.0976562
76, -0.3171484,  0.0742188
77, -0.3090625,  0.0957031
78, -0.3009766,  0.1210938
79, -0.2982813,  0.1113281
80, -0.2946875,  0.1132812
81, -0.2910938,  0.0917969
82, -0.3000781,  0.1523438
83, -0.2875000,  0.1230469
84, -0.2821094,  0.0996094
85, -0.2883984,  0.0976562
86, -0.2982813,  0.0800781
87, -0.3090625,  0.0839844
88, -0.3072656,  0.0546875
89, -0.3234375,  0.0117188
90, -0.3261328,  0.0429688
91, -0.3279297,  0.0488281
92, -0.3252344,  0.0996094
93, -0.3324219,  0.0761719
94, -0.3333203,  0.0234375
95, -0.3360156,  0.0429688
96, -0.3369141,  0.0742188
97, -0.3225391,  0.0332031
98, -0.3216406,  0.0605469
99, -0.3054688,  0.0097656
100, -0.2955859,  0.0390625
101, -0.2982813,  0.0371094
102, -0.2946875,  0.0859375
103, -0.3072656,  0.0625000
104, -0.3027734,  0.0273438
105, -0.3117578,  0.0410156
106, -0.3117578, -0.0156250
107, -0.3315234, -0.0136719
108, -0.3297266, -0.0097656
109, -0.3126563, -0.0117188
110, -0.3297266,  0.0449219
111, -0.3072656,  0.0234375
112, -0.2982813,  0.0175781
113, -0.3180469,  0.0078125
114, -0.3279297,  0.0019531
115, -0.3234375,  0.0078125
116, -0.3342188,  0.0800781
117, -0.3198438,  0.0976562
118, -0.3396094,  0.0722656
119, -0.3396094,  0.0585938
120, -0.3414063,  0.0136719
121, -0.3405078,  0.0195312
122, -0.3270313, -0.0234375
123, -0.3225391,  0.0039062
124, -0.3351172, -0.0351562
125, -0.3405078, -0.0390625
126, -0.3351172, -0.0488281
127, -0.3225391, -0.0292969
128, -0.3306250, -0.0546875
129, -0.3324219, -0.0820312
130, -0.3180469, -0.0722656
131, -0.3315234, -0.1093750
132, -0.3432031, -0.1093750
133, -0.3261328, -0.0957031
134, -0.3234375, -0.0937500
135, -0.3180469, -0.0664062
136, -0.3090625, -0.0703125
137, -0.3090625, -0.0917969
138, -0.3162500, -0.0781250
139, -0.3171484, -0.1406250
140, -0.3342188, -0.1562500
141, -0.3450000, -0.1582031
142, -0.3315234, -0.1855469
143, -0.3144531, -0.1367188
144, -0.3000781, -0.1328125
145, -0.2973828, -0.0820312
146, -0.3009766, -0.0449219
147, -0.2955859, -0.0644531
148, -0.2919922, -0.0468750
149, -0.3072656, -0.0195312
150, -0.2955859, -0.0429688
151, -0.3126563, -0.0585938
152, -0.2991797, -0.0722656
153, -0.3000781, -0.0605469
154, -0.2964844, -0.0800781
155, -0.3009766, -0.0546875
156, -0.2901953, -0.0683594
157, -0.2982813, -0.1035156
158, -0.3000781, -0.1113281
159, -0.3045703, -0.0996094
160, -0.3036719, -0.0644531
161, -0.3099609, -0.0683594
162, -0.3108594, -0.0468750
163, -0.3252344, -0.0605469
164, -0.3270313, -0.0332031
165, -0.3153516, -0.0703125
166, -0.3189453, -0.0937500
167, -0.3153516, -0.0644531
168, -0.3000781, -0.0488281
169, -0.3036719, -0.0839844
170, -0.3090625, -0.0937500
171, -0.3054688, -0.1328125
172, -0.3414063, -0.1464844
173, -0.3458984, -0.1503906
174, -0.3234375, -0.1523438
175, -0.3108594, -0.1308594
176, -0.3270313, -0.1289062
177, -0.3180469, -0.1230469
178, -0.3189453, -0.1093750
179, -0.3045703, -0.0996094
180, -0.3162500, -0.1230469
181, -0.3207422, -0.1367188
182, -0.3270313, -0.0742188
183, -0.3261328, -0.0859375
184, -0.3135547, -0.0488281
185, -0.3090625, -0.0292969
186, -0.3063672,  0.0039062
187, -0.3027734,  0.0136719
188, -0.2928906,  0.0136719
189, -0.3153516, -0.0292969
190, -0.3144531, -0.0546875
191, -0.3108594, -0.0253906
192, -0.3234375,  0.0136719
193, -0.3171484,  0.0117188
194, -0.3162500, -0.0175781
195, -0.3108594,  0.0078125
196, -0.2964844,  0.0273438
197, -0.2946875,  0.0429688
198, -0.3261328,  0.1074219
199, -0.3198438,  0.1796875
200, -0.3297266,  0.1582031
201, -0.3432031,  0.2207031
202, -0.3315234,  0.1953125
203, -0.3081641,  0.2519531
