# Iteration, E/spin, M/spin
0, -0.1483398, -0.0781250
1, -0.2000195, -0.0312500
2, -0.2383008, -0.0019531
3, -0.2507422, -0.0117188
4, -0.2756250, -0.0292969
5, -0.2928516, -0.0585938
6, -0.3052930, -0.0253906
7, -0.3081641, -0.0214844
8, -0.3158203,  0.0097656
9, -0.3387891,  0.0312500
10, -0.3330469,  0.0332031
11, -0.3483594,  0.0292969
12, -0.3608008,  0.0351562
13, -0.3464453,  0.0585938
14, -0.3435742,  0.0117188
15, -0.3397461,  0.0312500
16, -0.3541016,  0.0078125
17, -0.3560156,  0.0527344
18, -0.3483594,  0.0898438
19, -0.3445313,  0.0683594
20, -0.3464453,  0.0820312
21, -0.3550586,  0.1386719
22, -0.3349609,  0.1582031
23, -0.3407031,  0.1464844
24, -0.3617578,  0.1191406
25, -0.3703711,  0.1132812
26, -0.3703711,  0.0683594
27, -0.3646289,  0.1132812
28, -0.3741992,  0.1132812
29, -0.3675000,  0.1406250
30, -0.3608008,  0.1289062
31, -0.3818555,  0.1660156
32, -0.3770703,  0.1601562
33, -0.3732422,  0.1562500
34, -0.3617578,  0.1679688
35, -0.3684570,  0.1777344
36, -0.3751563,  0.2167969
37, -0.3866406,  0.2617188
38, -0.3694141,  0.2226562
39, -0.3588867,  0.2382812
40, -0.3751563,  0.2265625
41, -0.3923828,  0.2363281
42, -0.3914258,  0.2382812
43, -0.3808984,  0.2421875
44, -0.3627148,  0.2031250
45, -0.3694141,  0.2167969
46, -0.3550586,  0.2011719
47, -0.3732422,  0.2617188
48, -0.3646289,  0.2734375
49, -0.3541016,  0.2871094
50, -0.3675000,  0.3183594
51, -0.3617578,  0.3300781
52, -0.3531445,  0.3085938
53, -0.3359180,  0.3066406
54, -0.3608008,  0.3359375
55, -0.3483594,  0.3261719
56, -0.3483594,  0.3046875
57, -0.3340039,  0.2519531
58, -0.3407031,  0.2539062
59, -0.3387891,  0.2460938
60, -0.3397461,  0.2265625
61, -0.3569727,  0.2421875
62, -0.3569727,  0.2207031
63, -0.3579297,  0.2128906
