# Iteration, E/spin, M/spin
0, -0.1591797, -0.0878906
1, -0.2041016, -0.0703125
2, -0.2402344, -0.0156250
3, -0.2675781,  0.0117188
4, -0.2744141, -0.0546875
5, -0.2988281, -0.0800781
6, -0.3046875, -0.1308594
7, -0.3144531, -0.1230469
8, -0.3183594, -0.0976562
9, -0.3300781, -0.1152344
10, -0.3222656, -0.1113281
11, -0.3359375, -0.1269531
12, -0.3427734, -0.0703125
13, -0.3398438, -0.0761719
14, -0.3515625, -0.0429688
15, -0.3574219, -0.0390625
16, -0.3710938, -0.0234375
17, -0.3574219, -0.0488281
18, -0.3710938, -0.0644531
19, -0.3750000, -0.0292969
20, -0.3720703,  0.0019531
21, -0.3769531,  0.0234375
22, -0.3935547,  0.0234375
23, -0.4003906,  0.0429688
24, -0.3974609,  0.0605469
25, -0.3916016,  0.0410156
26, -0.4052734,  0.0742188
27, -0.4042969,  0.0800781
28, -0.4062500,  0.0859375
29, -0.3906250,  0.0820312
30, -0.3818359,  0.0390625
31, -0.3818359,  0.0234375
32, -0.3789062,  0.0488281
33, -0.3593750,  0.0859375
34, -0.3671875,  0.0976562
35, -0.3818359,  0.1328125
36, -0.3808594,  0.1347656
37, -0.3955078,  0.1523438
38, -0.3740234,  0.1386719
39, -0.3730469,  0.1601562
40, -0.3798828,  0.1464844
41, -0.3759766,  0.1953125
42, -0.3730469,  0.1660156
43, -0.3818359,  0.2226562
44, -0.3847656,  0.2480469
45, -0.4013672,  0.2578125
46, -0.3720703,  0.2363281
47, -0.3847656,  0.2382812
48, -0.3857422,  0.1816406
49, -0.4052734,  0.2382812
50, -0.3955078,  0.2363281
51, -0.4003906,  0.2675781
52, -0.3886719,  0.3046875
53, -0.3896484,  0.2773438
54, -0.3847656,  0.2988281
55, -0.3896484,  0.3398438
56, -0.3935547,  0.3242188
57, -0.3818359,  0.3203125
58, -0.3750000,  0.3339844
59, -0.3750000,  0.3261719
60, -0.3798828,  0.3066406
61, -0.3798828,  0.3222656
62, -0.3740234,  0.3105469
63, -0.3720703,  0.3242188
64, -0.3662109,  0.3281250
65, -0.3671875,  0.2988281
66, -0.3671875,  0.3164062
67, -0.3740234,  0.3398438
68, -0.3701172,  0.3437500
69, -0.3867188,  0.3515625
70, -0.3808594,  0.3535156
71, -0.3701172,  0.3183594
72, -0.3886719,  0.3222656
73, -0.3828125,  0.2949219
