# Number of parallel processes = 100
# Number of equilibration samples = 10000
# Number of samples = 1000000
#     Iteration  Blocking Level n               K1
             46,               2,   -0.4259131091
             46,               3,   -0.4172351035
             47,               0,   -0.3620753105
             47,               1,   -0.5625487502
             47,               2,   -0.4396075135
             47,               3,   -0.4352334259
             48,               0,   -0.4322030526
             48,               1,   -0.4323810501
             48,               2,   -0.4325101409
             48,               3,   -0.4328337985
             49,               0,   -0.4275717018
             49,               1,   -0.4276904703
             49,               2,   -0.4278408242
             49,               3,   -0.4287019980
             50,               0,   -0.4167551814
             50,               1,   -0.4144896867
             50,               2,   -0.4118186076
             50,               3,   -0.4164946201
             51,               0,   -0.3609053504
             51,               1,   -0.5660720598
             51,               2,   -0.4382773031
             51,               3,   -0.4345868427
             52,               0,   -0.4310785206
             52,               1,   -0.4312610835
             52,               2,   -0.4314314539
             52,               3,   -0.4318449872
             53,               0,   -0.4256696793
             53,               1,   -0.4256013456
             53,               2,   -0.4256759713
             53,               3,   -0.4268295812
             54,               0,   -0.4085823067
             54,               1,   -0.3993811126
             54,               2,   -0.3724886536
             54,               3,   -0.3992401792
             55,               0,   -0.3054919491
             55,               1,   -0.5570542910
             55,               2,   -0.4259995868
             55,               3,   -0.4156545471
             56,               0,   -0.3605005477
             56,               1,   -0.5661531975
             56,               2,   -0.4371859417
             56,               3,   -0.4329677818
             57,               0,   -0.4280232151
             57,               1,   -0.4281255209
             57,               2,   -0.4283131374
             57,               3,   -0.4290775369
             58,               0,   -0.4175879777
             58,               1,   -0.4155976685
             58,               2,   -0.4133767763
             58,               3,   -0.4179840368
             59,               0,   -0.3664549232
             59,               1,   -0.6009853866
             59,               2,   -0.4409629435
             59,               3,   -0.4380784998
             60,               0,   -0.4367301146
             60,               1,   -0.4368923679
             60,               2,   -0.4369408104
             60,               3,   -0.4370404899
             61,               0,   -0.4351490418
             61,               1,   -0.4353226736
             61,               2,   -0.4354095015
             61,               3,   -0.4355485359
             62,               0,   -0.4327203447
             62,               1,   -0.4328976724
             62,               2,   -0.4330393670
             62,               3,   -0.4333470943
             63,               0,   -0.4287359216
             63,               1,   -0.4288784812
             63,               2,   -0.4290612512
             63,               3,   -0.4297151170
             64,               0,   -0.4196837811
             64,               1,   -0.4184720630
             64,               2,   -0.4174399976
             64,               3,   -0.4204843873
             65,               0,   -0.3736863174
             65,               1,   -0.8619187749
             65,               2,   -0.4483141501
             65,               3,   -0.4476029021
             66,               0,   -0.4526932817
             66,               1,   -0.4547304595
             66,               2,   -0.4627287218
             66,               3,   -0.4263032534
             67,               0,   -0.4075374487
             67,               1,   -0.3971386893
             67,               2,   -0.3539842758
             67,               3,   -0.3922301381
             68,               0,   -0.2759503172
             68,               1,   -0.5325279300
             68,               2,   -0.4193580947
             68,               3,   -0.4080056413
             69,               0,   -0.3443321448
             69,               1,   -0.5829229144
             69,               2,   -0.4306671722
             69,               3,   -0.4233656798
             70,               0,   -0.3916117081
             70,               1,   -0.3062424981
             70,               2,   -0.4724585635
             70,               3,   -0.4976758764
             71,               0,   -0.4530891294
             71,               1,   -0.4802803539
             71,               2,   -0.4887653958
             71,               3,   -0.4924697391
             72,               0,   -0.4436548956
             72,               1,   -0.4747758839
             72,               2,   -0.4838659135
             72,               3,   -0.4878615706
             73,               0,   -0.4325931733
             73,               1,   -0.4696664194
             73,               2,   -0.4792346718
             73,               3,   -0.4831158295
             74,               0,   -0.4216650063
             74,               1,   -0.4647306415
             74,               2,   -0.4747273527
             74,               3,   -0.4787033855
             75,               0,   -0.4035988532
             75,               1,   -0.4600344831
             75,               2,   -0.4704458880
             75,               3,   -0.4743311795
             76,               0,   -0.3625062224
             76,               1,   -0.4542314666
             76,               2,   -0.4660220849
             76,               3,   -0.4700193822
             77,               0,   -0.1528724095
             77,               1,   -0.4480020393
             77,               2,   -0.4616588241
             77,               3,   -0.4657887604
             78,               0,   -0.7215961062
             78,               1,   -0.4412122664
             78,               2,   -0.4572755103
             78,               3,   -0.4616849383
             79,               0,   -0.5289718215
             79,               1,   -0.4296147539
             79,               2,   -0.4527549041
             79,               3,   -0.4575011527
             80,               0,   -0.4870810478
             80,               1,   -0.3847890270
             80,               2,   -0.4469546613
             80,               3,   -0.4529544863
             81,               0,   -0.4672047078
             81,               1,   -0.5045012644
             81,               2,   -0.4369247687
             81,               3,   -0.4476094252
