# Iteration, E/spin, M/spin
0, -0.1518750, -0.0859375
1, -0.1950000, -0.0449219
2, -0.2100000, -0.0312500
3, -0.2250000, -0.0449219
4, -0.2606250, -0.0937500
5, -0.2709375, -0.1386719
6, -0.2793750, -0.1523438
7, -0.2793750, -0.1152344
8, -0.2878125, -0.0898438
9, -0.2887500, -0.1191406
10, -0.3056250, -0.1425781
11, -0.2971875, -0.1503906
12, -0.2981250, -0.1464844
13, -0.3131250, -0.1328125
14, -0.3150000, -0.1230469
15, -0.3093750, -0.1328125
16, -0.3187500, -0.1718750
17, -0.3346875, -0.1796875
18, -0.3337500, -0.2148438
19, -0.3159375, -0.2460938
20, -0.3225000, -0.2265625
21, -0.3178125, -0.1718750
22, -0.3243750, -0.1347656
23, -0.3346875, -0.1171875
24, -0.3084375, -0.0820312
25, -0.3365625, -0.1230469
26, -0.3459375, -0.1289062
27, -0.3487500, -0.1210938
28, -0.3553125, -0.1269531
29, -0.3478125, -0.1210938
30, -0.3375000, -0.1152344
31, -0.3300000, -0.1386719
32, -0.3431250, -0.1523438
33, -0.3515625, -0.1660156
34, -0.3581250, -0.1835938
35, -0.3703125, -0.1914062
36, -0.3609375, -0.1855469
37, -0.3675000, -0.1757812
38, -0.3506250, -0.1464844
39, -0.3459375, -0.1210938
40, -0.3487500, -0.0976562
41, -0.3384375, -0.1250000
42, -0.3440625, -0.1152344
43, -0.3562500, -0.1386719
44, -0.3553125, -0.1582031
45, -0.3468750, -0.1992188
46, -0.3468750, -0.2148438
47, -0.3525000, -0.1679688
48, -0.3478125, -0.1835938
49, -0.3496875, -0.2363281
50, -0.3384375, -0.2011719
51, -0.3403125, -0.1855469
52, -0.3290625, -0.1425781
53, -0.3553125, -0.0878906
54, -0.3581250, -0.1035156
55, -0.3553125, -0.1054688
56, -0.3731250, -0.1328125
57, -0.3618750, -0.0917969
58, -0.3703125, -0.1230469
59, -0.3553125, -0.1640625
60, -0.3628125, -0.1953125
61, -0.3675000, -0.1953125
62, -0.3721875, -0.1660156
63, -0.3693750, -0.1933594
64, -0.3712500, -0.1953125
65, -0.3675000, -0.1738281
66, -0.3609375, -0.1425781
67, -0.3759375, -0.0957031
68, -0.3590625, -0.1132812
69, -0.3693750, -0.1191406
70, -0.3581250, -0.0957031
71, -0.3478125, -0.1015625
72, -0.3506250, -0.1289062
73, -0.3412500, -0.1464844
74, -0.3431250, -0.1464844
75, -0.3412500, -0.1152344
76, -0.3553125, -0.1523438
77, -0.3600000, -0.1718750
78, -0.3600000, -0.2031250
79, -0.3318750, -0.1796875
80, -0.3496875, -0.1777344
81, -0.3543750, -0.1464844
82, -0.3665625, -0.1308594
83, -0.3543750, -0.1347656
84, -0.3496875, -0.1250000
85, -0.3468750, -0.1054688
86, -0.3562500, -0.0917969
87, -0.3778125, -0.0410156
88, -0.3684375, -0.0722656
89, -0.3740625, -0.0761719
90, -0.3721875, -0.0488281
91, -0.3656250, -0.0410156
92, -0.3721875, -0.0058594
93, -0.3581250, -0.0078125
94, -0.3281250,  0.0058594
95, -0.3375000,  0.0234375
96, -0.3365625,  0.0000000
97, -0.3243750, -0.0175781
98, -0.3309375, -0.0507812
99, -0.3365625, -0.0449219
100, -0.3393750, -0.0097656
101, -0.3487500,  0.0234375
102, -0.3515625,  0.0117188
103, -0.3646875,  0.0292969
104, -0.3721875,  0.0527344
105, -0.3618750,  0.0449219
106, -0.3609375,  0.0644531
