# Iteration, E/spin, M/spin
0, -0.1332031, -0.0078125
1, -0.1770313,  0.0332031
2, -0.1847656,  0.0761719
3, -0.1942188,  0.1074219
4, -0.2208594,  0.0996094
5, -0.2242969,  0.1289062
6, -0.2371875,  0.1542969
7, -0.2509375,  0.1914062
8, -0.2560938,  0.2089844
9, -0.2483594,  0.2500000
10, -0.2612500,  0.3281250
11, -0.2569531,  0.3125000
12, -0.2784375,  0.3789062
13, -0.2896094,  0.3984375
14, -0.2758594,  0.4453125
15, -0.2853125,  0.4785156
16, -0.2835938,  0.4960938
17, -0.2689844,  0.4843750
18, -0.2835938,  0.4882812
19, -0.3153906,  0.5429688
20, -0.3102344,  0.5507812
21, -0.2913281,  0.5175781
22, -0.2939063,  0.5371094
23, -0.2878906,  0.5253906
24, -0.2896094,  0.5195312
25, -0.2999219,  0.4980469
26, -0.3110938,  0.5234375
27, -0.3076563,  0.5488281
28, -0.3257031,  0.5605469
29, -0.3274219,  0.5390625
30, -0.2999219,  0.4980469
31, -0.3179688,  0.5839844
32, -0.3128125,  0.5800781
33, -0.3162500,  0.5488281
34, -0.3085156,  0.5664062
35, -0.2956250,  0.5468750
36, -0.2947656,  0.5156250
37, -0.2921875,  0.4882812
38, -0.2999219,  0.4921875
39, -0.3025000,  0.4453125
40, -0.2750000,  0.3964844
41, -0.2835938,  0.4550781
42, -0.2741406,  0.4492188
43, -0.2689844,  0.4238281
44, -0.2621094,  0.4355469
45, -0.2715625,  0.4570312
46, -0.2801563,  0.4746094
47, -0.2707031,  0.4433594
48, -0.2827344,  0.4531250
49, -0.2655469,  0.4179688
50, -0.2784375,  0.4492188
51, -0.2810156,  0.4511719
52, -0.2552344,  0.4394531
53, -0.2475000,  0.4199219
54, -0.2655469,  0.4316406
55, -0.2861719,  0.4082031
56, -0.2947656,  0.3750000
57, -0.2990625,  0.3867188
58, -0.2956250,  0.3828125
59, -0.2844531,  0.3769531
60, -0.2741406,  0.3867188
61, -0.2801563,  0.4121094
62, -0.2724219,  0.4394531
63, -0.2810156,  0.4531250
64, -0.2861719,  0.4726562
65, -0.2921875,  0.4882812
66, -0.3016406,  0.5039062
67, -0.2939063,  0.5332031
68, -0.3136719,  0.5625000
69, -0.3085156,  0.5468750
70, -0.3042188,  0.5136719
71, -0.2896094,  0.4980469
72, -0.2767188,  0.5078125
73, -0.2655469,  0.5234375
74, -0.2844531,  0.5449219
75, -0.2827344,  0.5722656
76, -0.2982031,  0.6152344
77, -0.2741406,  0.5644531
78, -0.2750000,  0.5742188
79, -0.2947656,  0.5839844
80, -0.2861719,  0.5390625
81, -0.2767188,  0.5585938
82, -0.2835938,  0.5585938
83, -0.2801563,  0.5507812
84, -0.2999219,  0.5878906
85, -0.2810156,  0.5312500
86, -0.2939063,  0.5527344
87, -0.2939063,  0.5761719
88, -0.3067969,  0.5957031
89, -0.3025000,  0.5996094
90, -0.3085156,  0.6445312
91, -0.3248438,  0.7050781
92, -0.3085156,  0.6640625
93, -0.3196875,  0.6640625
94, -0.3214063,  0.6718750
95, -0.3033594,  0.6972656
96, -0.3119531,  0.7070312
97, -0.3205469,  0.7402344
98, -0.3282813,  0.7675781
99, -0.3360156,  0.7851562
100, -0.3300000,  0.8007812
101, -0.3420313,  0.8261719
102, -0.3428906,  0.8378906
103, -0.3514844,  0.8496094
104, -0.3497656,  0.8417969
105, -0.3583594,  0.8417969
106, -0.3325781,  0.8183594
107, -0.3342969,  0.8085938
108, -0.3300000,  0.7832031
109, -0.3265625,  0.7656250
110, -0.3025000,  0.7480469
111, -0.3162500,  0.7890625
112, -0.3480469,  0.8164062
113, -0.3420313,  0.8300781
114, -0.3617969,  0.8652344
115, -0.3385938,  0.8261719
116, -0.3437500,  0.8222656
117, -0.3420313,  0.8203125
118, -0.3566406,  0.8417969
119, -0.3428906,  0.8164062
120, -0.3446094,  0.8144531
121, -0.3308594,  0.7910156
122, -0.3248438,  0.7851562
123, -0.3385938,  0.8105469
124, -0.3274219,  0.7851562
125, -0.3188281,  0.7617188
126, -0.3153906,  0.7773438
127, -0.3145313,  0.7617188
128, -0.3282813,  0.8164062
129, -0.3153906,  0.7832031
130, -0.3110938,  0.7597656
131, -0.3171094,  0.7675781
132, -0.3385938,  0.8242188
133, -0.3471875,  0.8320312
134, -0.3403125,  0.8320312
135, -0.3446094,  0.8281250
136, -0.3532031,  0.8339844
137, -0.3660938,  0.8613281
138, -0.3471875,  0.8457031
139, -0.3368750,  0.8085938
140, -0.3248438,  0.7539062
141, -0.3214063,  0.7421875
142, -0.3171094,  0.7128906
143, -0.3248438,  0.7070312
144, -0.3196875,  0.7109375
145, -0.3016406,  0.7050781
146, -0.3248438,  0.7441406
147, -0.3222656,  0.7128906
148, -0.3248438,  0.7480469
149, -0.3334375,  0.7597656
150, -0.3514844,  0.8222656
151, -0.3428906,  0.8144531
152, -0.3368750,  0.7871094
153, -0.3300000,  0.8066406
154, -0.3351563,  0.7773438
155, -0.3368750,  0.7968750
156, -0.3300000,  0.7636719
157, -0.3377344,  0.7500000
158, -0.3291406,  0.7402344
159, -0.3239844,  0.6953125
160, -0.3222656,  0.6933594
161, -0.3239844,  0.6816406
162, -0.3239844,  0.6953125
163, -0.3214063,  0.7089844
164, -0.2999219,  0.6367188
165, -0.3196875,  0.6972656
166, -0.3325781,  0.7207031
167, -0.3342969,  0.7753906
168, -0.3394531,  0.7851562
169, -0.3291406,  0.7460938
170, -0.3231250,  0.7226562
171, -0.3153906,  0.7109375
172, -0.3171094,  0.7070312
173, -0.3153906,  0.6816406
174, -0.2990625,  0.6386719
175, -0.3110938,  0.6210938
176, -0.3042188,  0.6132812
177, -0.3128125,  0.6347656
178, -0.3016406,  0.6250000
179, -0.3033594,  0.6093750
180, -0.2999219,  0.5898438
181, -0.3102344,  0.5839844
182, -0.3171094,  0.5644531
183, -0.3179688,  0.6132812
184, -0.2921875,  0.6035156
185, -0.2861719,  0.5898438
186, -0.2896094,  0.5898438
187, -0.2982031,  0.5625000
188, -0.2861719,  0.5527344
189, -0.2878906,  0.5097656
190, -0.2930469,  0.4902344
191, -0.2887500,  0.5000000
