# Iteration, E/spin, M/spin
0, -0.1427734,  0.0644531
1, -0.1637695,  0.0644531
2, -0.2116406,  0.0312500
3, -0.2141602,  0.0625000
4, -0.2225586,  0.0781250
5, -0.2158398,  0.0429688
6, -0.2351562,  0.0000000
7, -0.2460742,  0.0019531
8, -0.2586719, -0.0097656
9, -0.2603516,  0.0332031
10, -0.2687500,  0.0332031
11, -0.2729492,  0.0058594
12, -0.2737891,  0.0273438
13, -0.2763086,  0.0156250
14, -0.2637109,  0.0195312
15, -0.2754687,  0.0019531
16, -0.2704297,  0.0078125
17, -0.2611914,  0.0195312
18, -0.2746289,  0.0039062
19, -0.2536328,  0.0605469
20, -0.2427148,  0.0312500
21, -0.2519531,  0.0078125
22, -0.2376758,  0.0136719
23, -0.2511133,  0.0195312
24, -0.2637109,  0.0312500
25, -0.2494336,  0.0156250
26, -0.2611914,  0.0175781
27, -0.2553125,  0.0410156
28, -0.2620312,  0.0566406
29, -0.2695898,  0.0820312
30, -0.2695898,  0.0917969
31, -0.2704297,  0.0664062
32, -0.2712695,  0.0390625
33, -0.2527930,  0.0859375
34, -0.2628711,  0.1523438
35, -0.2637109,  0.1777344
36, -0.2578320,  0.2285156
37, -0.2569922,  0.2109375
38, -0.2536328,  0.2148438
39, -0.2679102,  0.2109375
40, -0.2603516,  0.2050781
41, -0.2569922,  0.1582031
42, -0.2611914,  0.1191406
43, -0.2695898,  0.0898438
44, -0.2561523,  0.1210938
45, -0.2469141,  0.1367188
46, -0.2502734,  0.1464844
47, -0.2553125,  0.1796875
48, -0.2427148,  0.1796875
49, -0.2527930,  0.1562500
50, -0.2695898,  0.1855469
51, -0.2637109,  0.1933594
52, -0.2637109,  0.2343750
53, -0.2569922,  0.2792969
54, -0.2435547,  0.2968750
55, -0.2561523,  0.2968750
56, -0.2485937,  0.3125000
57, -0.2595117,  0.3339844
58, -0.2729492,  0.3417969
59, -0.2553125,  0.3300781
60, -0.2561523,  0.2753906
61, -0.2586719,  0.2519531
62, -0.2595117,  0.2792969
63, -0.2645508,  0.2421875
64, -0.2511133,  0.1835938
65, -0.2544727,  0.1914062
66, -0.2519531,  0.1425781
67, -0.2578320,  0.1328125
68, -0.2502734,  0.1250000
69, -0.2485937,  0.1503906
70, -0.2662305,  0.1816406
71, -0.2737891,  0.1093750
72, -0.2645508,  0.1093750
73, -0.2704297,  0.1015625
74, -0.2695898,  0.1250000
75, -0.2603516,  0.1718750
76, -0.2460742,  0.1816406
77, -0.2485937,  0.1406250
78, -0.2595117,  0.1796875
79, -0.2679102,  0.1875000
80, -0.2771484,  0.1386719
81, -0.2712695,  0.1562500
82, -0.2628711,  0.1757812
83, -0.2645508,  0.0996094
84, -0.2569922,  0.0527344
85, -0.2460742,  0.0449219
86, -0.2477539,  0.0703125
87, -0.2275977,  0.0742188
88, -0.2401953,  0.0585938
89, -0.2410352,  0.0449219
90, -0.2443945,  0.0644531
91, -0.2511133,  0.0781250
92, -0.2662305,  0.1269531
93, -0.2838672,  0.1367188
94, -0.2847070,  0.1875000
95, -0.2771484,  0.1386719
96, -0.2687500,  0.1464844
97, -0.2603516,  0.1347656
98, -0.2695898,  0.1035156
99, -0.2746289,  0.1132812
100, -0.2645508,  0.1250000
101, -0.2527930,  0.1152344
102, -0.2527930,  0.0839844
103, -0.2410352,  0.1015625
104, -0.2435547,  0.0898438
105, -0.2527930,  0.0664062
106, -0.2595117,  0.0390625
107, -0.2527930,  0.0371094
108, -0.2721094,  0.0917969
109, -0.2687500,  0.0859375
110, -0.2838672,  0.0820312
111, -0.2863867,  0.0957031
112, -0.2796680,  0.1152344
113, -0.2796680,  0.0781250
114, -0.2679102,  0.0937500
115, -0.2721094,  0.1171875
116, -0.2838672,  0.0839844
117, -0.2721094,  0.0917969
118, -0.2805078,  0.0917969
119, -0.2679102,  0.0546875
120, -0.2628711,  0.0859375
121, -0.2595117,  0.1015625
122, -0.2645508,  0.0410156
123, -0.2443945,  0.0195312
124, -0.2578320,  0.0195312
125, -0.2771484,  0.0449219
126, -0.2796680,  0.0566406
127, -0.2637109,  0.0566406
128, -0.2763086,  0.0703125
129, -0.2796680,  0.0878906
130, -0.2746289,  0.0546875
131, -0.2779883,  0.0839844
132, -0.2687500,  0.1191406
133, -0.2645508,  0.1425781
134, -0.2435547,  0.1777344
135, -0.2586719,  0.1425781
136, -0.2721094,  0.1875000
137, -0.2838672,  0.1679688
138, -0.2721094,  0.1484375
139, -0.2746289,  0.1367188
140, -0.2721094,  0.1054688
141, -0.2662305,  0.0976562
142, -0.2695898,  0.1074219
143, -0.2628711,  0.1171875
144, -0.2595117,  0.1093750
145, -0.2544727,  0.0468750
146, -0.2435547,  0.0859375
147, -0.2292773,  0.0117188
148, -0.2250781,  0.1054688
149, -0.2443945,  0.0273438
150, -0.2477539, -0.0234375
151, -0.2418750, -0.0136719
152, -0.2536328,  0.0410156
