# Iteration, E/spin, M/spin
0, -0.1494141, -0.0761719
1, -0.1959961, -0.0644531
2, -0.2170898, -0.0742188
3, -0.2364258, -0.1425781
4, -0.2337891, -0.1367188
5, -0.2496094, -0.1992188
6, -0.2575195, -0.2343750
7, -0.2566406, -0.2011719
8, -0.2346680, -0.1640625
9, -0.2346680, -0.2207031
10, -0.2487305, -0.2539062
11, -0.2487305, -0.2363281
12, -0.2513672, -0.2695312
13, -0.2619141, -0.2851562
14, -0.2513672, -0.2265625
15, -0.2671875, -0.2714844
16, -0.2671875, -0.2558594
17, -0.2627930, -0.2324219
18, -0.2724609, -0.2265625
19, -0.2750977, -0.2343750
20, -0.2944336, -0.3261719
21, -0.2830078, -0.2695312
22, -0.2874023, -0.2500000
23, -0.2698242, -0.2617188
24, -0.2935547, -0.2265625
25, -0.2909180, -0.1679688
26, -0.2830078, -0.1425781
27, -0.2821289, -0.1601562
28, -0.2979492, -0.1328125
29, -0.2917969, -0.1210938
30, -0.2917969, -0.1015625
31, -0.2988281, -0.0644531
32, -0.2847656, -0.0644531
33, -0.2847656, -0.0644531
34, -0.2874023, -0.0117188
35, -0.2847656, -0.0292969
36, -0.2944336, -0.0292969
37, -0.2909180,  0.0214844
38, -0.2926758,  0.0410156
39, -0.2953125,  0.0410156
40, -0.3032227,  0.0820312
41, -0.3058594,  0.1367188
42, -0.2847656,  0.1992188
43, -0.2803711,  0.2128906
44, -0.2847656,  0.2011719
45, -0.2944336,  0.2519531
46, -0.2900391,  0.2949219
47, -0.2900391,  0.3281250
48, -0.2953125,  0.3144531
49, -0.3041016,  0.2910156
50, -0.3049805,  0.3183594
51, -0.3260742,  0.3554688
52, -0.3049805,  0.3925781
53, -0.2961914,  0.4062500
54, -0.2970703,  0.4121094
55, -0.3076172,  0.4335938
56, -0.3128906,  0.4375000
57, -0.3032227,  0.4511719
58, -0.3172852,  0.4726562
59, -0.3128906,  0.4433594
60, -0.3155273,  0.4062500
61, -0.3023438,  0.4160156
62, -0.3102539,  0.3984375
63, -0.3058594,  0.3789062
64, -0.3032227,  0.3710938
65, -0.3058594,  0.3085938
66, -0.2997070,  0.3300781
67, -0.3146484,  0.4003906
68, -0.3243164,  0.3789062
69, -0.3146484,  0.3652344
70, -0.3005859,  0.3710938
71, -0.3032227,  0.3730469
72, -0.3023438,  0.3632812
73, -0.2926758,  0.3476562
74, -0.3005859,  0.4003906
75, -0.3005859,  0.3906250
76, -0.2988281,  0.4277344
77, -0.2970703,  0.4472656
78, -0.3128906,  0.4335938
79, -0.3041016,  0.4609375
80, -0.3093750,  0.5214844
81, -0.3032227,  0.4609375
82, -0.2794922,  0.4199219
83, -0.2944336,  0.4414062
84, -0.2979492,  0.4511719
85, -0.2953125,  0.4394531
86, -0.2953125,  0.4570312
87, -0.3041016,  0.4570312
88, -0.2970703,  0.4433594
89, -0.2979492,  0.4160156
90, -0.3005859,  0.4257812
91, -0.2953125,  0.4277344
92, -0.3128906,  0.4199219
93, -0.2926758,  0.3789062
94, -0.2891602,  0.4101562
95, -0.3049805,  0.4296875
96, -0.3102539,  0.4746094
97, -0.2935547,  0.4863281
98, -0.2926758,  0.4921875
99, -0.3023438,  0.4824219
100, -0.3278320,  0.4941406
101, -0.3225586,  0.4707031
102, -0.3102539,  0.4804688
103, -0.3331055,  0.5175781
104, -0.3304688,  0.5351562
105, -0.3418945,  0.5742188
106, -0.3498047,  0.5527344
107, -0.3243164,  0.5078125
108, -0.3313477,  0.5312500
109, -0.3322266,  0.5488281
110, -0.3375000,  0.5585938
111, -0.3251953,  0.5527344
112, -0.3366211,  0.5781250
113, -0.3313477,  0.5800781
114, -0.3234375,  0.5957031
115, -0.3216797,  0.5683594
116, -0.3322266,  0.5683594
117, -0.3190430,  0.5625000
118, -0.3322266,  0.5800781
119, -0.3181641,  0.5546875
120, -0.3014648,  0.4980469
121, -0.3076172,  0.5488281
122, -0.2944336,  0.5332031
