# Iteration, E/spin, M/spin
0, -0.1185156,  0.0351562
1, -0.1521484, -0.0019531
2, -0.1697656,  0.0585938
3, -0.1929883,  0.0898438
4, -0.1889844,  0.0312500
5, -0.1945898,  0.0859375
6, -0.1977930,  0.0371094
7, -0.1929883, -0.0117188
8, -0.2066016,  0.0332031
9, -0.2202148,  0.0292969
10, -0.2082031,  0.0000000
11, -0.2082031, -0.0371094
12, -0.2058008, -0.0332031
13, -0.2025977, -0.0371094
14, -0.2058008, -0.0488281
15, -0.2274219, -0.0507812
16, -0.2274219, -0.0253906
17, -0.2226172,  0.0019531
18, -0.2498437, -0.0859375
19, -0.2378320, -0.0546875
20, -0.2386328, -0.0703125
21, -0.2610547, -0.0957031
22, -0.2594531, -0.0644531
23, -0.2594531, -0.0859375
24, -0.2626562, -0.0859375
25, -0.2426367, -0.0566406
26, -0.2354297, -0.0156250
27, -0.2378320, -0.0253906
28, -0.2378320, -0.0097656
29, -0.2282227, -0.0332031
30, -0.2498437, -0.0214844
31, -0.2466406, -0.0429688
32, -0.2458398, -0.0820312
33, -0.2402344, -0.0351562
34, -0.2458398, -0.0429688
35, -0.2354297, -0.0117188
36, -0.2474414, -0.0585938
37, -0.2386328, -0.0781250
38, -0.2506445, -0.0898438
39, -0.2450391, -0.0917969
40, -0.2418359, -0.0449219
41, -0.2370312, -0.0312500
42, -0.2402344, -0.0410156
43, -0.2450391, -0.0156250
44, -0.2378320, -0.0234375
45, -0.2386328, -0.0234375
46, -0.2354297, -0.0175781
47, -0.2466406, -0.0136719
48, -0.2282227, -0.0039062
49, -0.2402344,  0.0097656
50, -0.2434375, -0.0019531
51, -0.2538477, -0.0292969
52, -0.2554492,  0.0000000
53, -0.2466406, -0.0273438
54, -0.2402344, -0.0234375
55, -0.2362305, -0.0078125
56, -0.2266211,  0.0000000
57, -0.2330273,  0.0000000
58, -0.2314258,  0.0429688
59, -0.2378320,  0.0429688
60, -0.2458398,  0.0039062
61, -0.2338281,  0.0175781
62, -0.2490430,  0.0351562
63, -0.2482422,  0.0625000
64, -0.2514453,  0.0234375
65, -0.2738672,  0.0429688
66, -0.2658594,  0.0800781
67, -0.2586523,  0.0410156
68, -0.2666602,  0.0527344
69, -0.2594531,  0.0917969
70, -0.2370312,  0.0781250
71, -0.2546484,  0.0136719
72, -0.2346289,  0.0253906
73, -0.2386328,  0.0136719
74, -0.2522461,  0.0410156
75, -0.2538477,  0.0292969
76, -0.2474414, -0.0136719
77, -0.2490430,  0.0273438
78, -0.2466406, -0.0078125
79, -0.2346289, -0.0371094
80, -0.2314258,  0.0156250
81, -0.2362305,  0.0546875
82, -0.2274219,  0.0488281
83, -0.2146094,  0.0175781
84, -0.2274219,  0.0957031
85, -0.2322266,  0.0839844
86, -0.2314258,  0.0195312
87, -0.2258203,  0.0117188
88, -0.2234180,  0.0566406
89, -0.2274219,  0.0722656
90, -0.2378320,  0.0292969
91, -0.2402344,  0.0644531
92, -0.2314258,  0.0585938
93, -0.2178125,  0.0585938
94, -0.2218164,  0.0429688
95, -0.2282227,  0.0429688
96, -0.2426367,  0.0468750
97, -0.2538477,  0.0703125
98, -0.2498437,  0.0449219
99, -0.2546484, -0.0117188
100, -0.2466406,  0.0078125
101, -0.2514453, -0.0292969
102, -0.2258203, -0.0800781
103, -0.2346289, -0.0820312
104, -0.2394336, -0.1054688
105, -0.2314258, -0.0976562
106, -0.2322266, -0.1171875
107, -0.2514453, -0.0781250
108, -0.2634570, -0.1210938
109, -0.2506445, -0.0859375
110, -0.2530469, -0.0820312
111, -0.2562500, -0.0937500
112, -0.2690625, -0.1289062
113, -0.2682617, -0.0957031
114, -0.2514453, -0.1093750
115, -0.2458398, -0.1445312
116, -0.2474414, -0.1406250
117, -0.2346289, -0.1093750
118, -0.2306250, -0.0859375
119, -0.2346289, -0.0820312
120, -0.2506445, -0.1328125
121, -0.2458398, -0.1484375
122, -0.2594531, -0.1679688
123, -0.2690625, -0.2011719
124, -0.2586523, -0.1445312
125, -0.2498437, -0.0781250
126, -0.2410352, -0.1386719
127, -0.2266211, -0.1035156
128, -0.2378320, -0.1093750
129, -0.2482422, -0.1015625
130, -0.2370312, -0.1386719
131, -0.2386328, -0.1738281
132, -0.2346289, -0.1640625
133, -0.2474414, -0.1601562
134, -0.2498437, -0.1933594
135, -0.2514453, -0.2011719
136, -0.2354297, -0.1406250
137, -0.2330273, -0.0507812
138, -0.2418359, -0.0664062
139, -0.2610547, -0.0371094
140, -0.2450391, -0.0019531
141, -0.2370312,  0.0000000
142, -0.2362305, -0.0136719
143, -0.2370312, -0.0371094
144, -0.2250195,  0.0000000
145, -0.2250195, -0.0253906
146, -0.2298242, -0.0820312
147, -0.2242187, -0.1230469
148, -0.2298242, -0.1445312
149, -0.2330273, -0.1054688
150, -0.2226172, -0.1113281
151, -0.2402344, -0.0996094
152, -0.2322266, -0.0781250
153, -0.2418359, -0.0839844
154, -0.2362305, -0.0722656
155, -0.2522461, -0.1132812
156, -0.2594531, -0.1132812
157, -0.2522461, -0.1035156
158, -0.2370312, -0.0937500
159, -0.2386328, -0.0761719
160, -0.2418359, -0.0312500
161, -0.2378320,  0.0156250
162, -0.2394336,  0.0429688
163, -0.2426367, -0.0195312
164, -0.2346289, -0.0507812
165, -0.2242187, -0.0800781
166, -0.2442383, -0.0859375
167, -0.2418359, -0.1406250
168, -0.2298242, -0.1464844
169, -0.2250195, -0.1074219
170, -0.2314258, -0.1562500
171, -0.2266211, -0.1328125
172, -0.2266211, -0.1875000
173, -0.2442383, -0.1816406
174, -0.2418359, -0.2343750
175, -0.2354297, -0.2285156
176, -0.2210156, -0.1855469
177, -0.2386328, -0.2011719
178, -0.2362305, -0.1992188
179, -0.2474414, -0.2578125
180, -0.2394336, -0.2617188
181, -0.2498437, -0.2324219
182, -0.2554492, -0.2656250
183, -0.2618555, -0.2402344
184, -0.2546484, -0.2480469
185, -0.2426367, -0.2519531
186, -0.2378320, -0.2929688
187, -0.2538477, -0.3496094
188, -0.2410352, -0.2910156
189, -0.2466406, -0.3125000
190, -0.2426367, -0.2910156
191, -0.2402344, -0.2773438
192, -0.2554492, -0.2734375
193, -0.2402344, -0.2207031
194, -0.2386328, -0.2832031
195, -0.2426367, -0.3144531
196, -0.2346289, -0.2949219
197, -0.2290234, -0.2460938
198, -0.2338281, -0.2617188
199, -0.2266211, -0.2597656
200, -0.2098047, -0.2089844
201, -0.2138086, -0.1992188
202, -0.2250195, -0.1191406
203, -0.2290234, -0.1054688
204, -0.2210156, -0.0996094
205, -0.2458398, -0.0957031
206, -0.2418359, -0.0644531
207, -0.2338281, -0.0742188
208, -0.2346289, -0.1054688
209, -0.2362305, -0.1425781
210, -0.2258203, -0.1523438
211, -0.2298242, -0.0742188
