# Iteration, E/spin, M/spin
0, -0.1255078, -0.0039062
1, -0.1812891,  0.0566406
2, -0.1927734,  0.0859375
3, -0.2017969,  0.0449219
4, -0.1960547, -0.0136719
5, -0.2141016,  0.0468750
6, -0.2058984,  0.0058594
7, -0.2272266,  0.0214844
8, -0.2165625, -0.0039062
9, -0.2050781,  0.0234375
10, -0.2050781,  0.0000000
11, -0.2190234, -0.0195312
12, -0.2280469, -0.0820312
13, -0.2239453, -0.1152344
14, -0.2124609, -0.1132812
15, -0.2067187, -0.0878906
16, -0.2042578, -0.0859375
17, -0.2255859, -0.0117188
18, -0.2141016, -0.0273438
19, -0.2329687, -0.0156250
20, -0.2403516, -0.0625000
21, -0.2370703, -0.0214844
22, -0.2329687, -0.0390625
23, -0.2288672, -0.1699219
24, -0.2223047, -0.1503906
25, -0.2444531, -0.1992188
26, -0.2469141, -0.2128906
27, -0.2428125, -0.2148438
28, -0.2321484, -0.2167969
29, -0.2452734, -0.2363281
30, -0.2419922, -0.1875000
31, -0.2403516, -0.2519531
32, -0.2346094, -0.2832031
33, -0.2272266, -0.2539062
34, -0.2321484, -0.2871094
35, -0.2247656, -0.2832031
36, -0.2346094, -0.2832031
37, -0.2264062, -0.2500000
38, -0.2288672, -0.2871094
39, -0.2362500, -0.2695312
40, -0.2190234, -0.2539062
41, -0.2223047, -0.2011719
42, -0.2247656, -0.1855469
43, -0.2165625, -0.1660156
44, -0.2050781, -0.1621094
45, -0.2132812, -0.2148438
46, -0.2362500, -0.2695312
47, -0.2583984, -0.3046875
48, -0.2559375, -0.2675781
49, -0.2616797, -0.3300781
50, -0.2559375, -0.3398438
51, -0.2551172, -0.3203125
52, -0.2682422, -0.3144531
53, -0.2608594, -0.3417969
54, -0.2567578, -0.3886719
55, -0.2608594, -0.3710938
56, -0.2583984, -0.3515625
57, -0.2682422, -0.3652344
58, -0.2625000, -0.4511719
59, -0.2583984, -0.4628906
60, -0.2641406, -0.5136719
61, -0.2575781, -0.4589844
62, -0.2641406, -0.4726562
63, -0.2756250, -0.4882812
64, -0.2616797, -0.4882812
65, -0.2846484, -0.5234375
66, -0.2748047, -0.5488281
67, -0.2666016, -0.5839844
68, -0.2698828, -0.5898438
69, -0.2649609, -0.6093750
70, -0.2559375, -0.5351562
71, -0.2452734, -0.5175781
72, -0.2723437, -0.5878906
73, -0.2551172, -0.5390625
74, -0.2485547, -0.5449219
75, -0.2575781, -0.5351562
76, -0.2592187, -0.5449219
77, -0.2756250, -0.5683594
78, -0.2821875, -0.5996094
79, -0.2813672, -0.6035156
80, -0.2649609, -0.5546875
81, -0.2641406, -0.5625000
82, -0.2707031, -0.5332031
83, -0.2830078, -0.5429688
84, -0.2739844, -0.5019531
85, -0.2772656, -0.5332031
86, -0.2846484, -0.5371094
87, -0.2756250, -0.5312500
88, -0.2731641, -0.5058594
